,,,Value,Symbol
Kuwait,Treated municipal wastewater discharged (secondary water),36,0.074,I
Kyrgyzstan,Direct use of treated municipal wastewater,3,0.0001,I
Kyrgyzstan,Produced municipal wastewater,7,0.0658,I
Kyrgyzstan,Treated municipal wastewater,13,0.0002,I
Kyrgyzstan,Treated municipal wastewater discharged (secondary water),19,0.0001,I
Lao People's Democratic Republic,Produced municipal wastewater,0,0.0836,I
Lao People's Democratic Republic,Collected municipal wastewater,5,0.546,I
Lao People's Democratic Republic,Treated municipal wastewater,11,0.0,I
Latvia,Produced municipal wastewater,5,0.234,
Latvia,Not treated municipal wastewater,10,0.098,I
Latvia,Treated municipal wastewater,16,0.12752,I
Latvia,Treated municipal wastewater discharged (secondary water),20,0.116,I
Lebanon,Desalinated water produced,1,0.0473,I
Lebanon,Direct use of treated municipal wastewater,7,0.002,I
Lebanon,Produced municipal wastewater,13,0.31,I
Lebanon,Collected municipal wastewater,18,0.103,I
Lebanon,Not treated municipal wastewater,24,0.193,I
Lebanon,Treated municipal wastewater,30,0.056,I
Lebanon,Treated municipal wastewater discharged (secondary water),36,0.002,I
Libya,Desalinated water produced,2,0.07,
Libya,Produced municipal wastewater,7,0.504,
Libya,Collected municipal wastewater,10,0.167,I
Libya,Not treated municipal wastewater,15,0.506,I
Libya,Treated municipal wastewater,20,0.04,I
Lithuania,Treated municipal wastewater,8,0.14372,I
Lithuania,Treated municipal wastewater discharged (secondary water),13,0.123,I
Luxembourg,Produced municipal wastewater,3,0.0208,I
Luxembourg,Collected municipal wastewater,7,0.04,I
Luxembourg,Treated municipal wastewater,11,0.04,I
Luxembourg,Treated municipal wastewater discharged (secondary water),15,0.04,I
Malaysia,Desalinated water produced,3,0.0043,I
Malaysia,Produced municipal wastewater,6,4.227,I
Malaysia,Not treated municipal wastewater,9,1.624,I
Malaysia,Treated municipal wastewater,12,2.603,I
Maldives,Desalinated water produced,3,0.0085714286,I
Maldives,Produced municipal wastewater,8,0.0037,I
Mali,Produced municipal wastewater,0,0.0967,I
Malta,Desalinated water produced,3,0.0189,I
Malta,Direct use of treated municipal wastewater,8,0.00168,I
Malta,Produced municipal wastewater,10,0.0212,
Malta,Treated municipal wastewater,14,0.019552381,I
Malta,Treated municipal wastewater discharged (secondary water),18,0.0,I
Marshall Islands,Desalinated water produced,3,0.0007,I
Mauritania,Desalinated water produced,3,0.002,I
Mauritania,Produced municipal wastewater,6,0.0214,I
Mauritania,Treated municipal wastewater,11,0.0007,I
Mauritius,Treated municipal wastewater,3,0.036,
Mexico,Direct use of treated municipal wastewater,5,0.7646666667,I
Mexico,Produced municipal wastewater,9,7.359,I
Mexico,Collected municipal wastewater,14,6.643,I
Mexico,Not treated municipal wastewater,18,4.1485,I
Mexico,Treated municipal wastewater,24,3.2105,I
Mexico,Treated municipal wastewater discharged (secondary water),28,2.277,I
Mexico,Not treated municipal wastewater discharged (secondary water),34,6.8,I
Mexico,Direct use of not treated municipal wastewater for irrigation purposes,38,4.33,I
Monaco,Produced municipal wastewater,0,0.008,I
Monaco,Not treated municipal wastewater,3,0.002,I
Monaco,Treated municipal wastewater,6,0.006,I
Mongolia,Desalinated water produced,1,0.0,I
Mongolia,Not treated municipal wastewater,8,0.08,I
Mongolia,Treated municipal wastewater,13,0.12,I
Mongolia,Not treated municipal wastewater discharged (secondary water),17,0.08,I
Montenegro,Produced municipal wastewater,1,0.031,I
Montenegro,Not treated municipal wastewater,5,0.0221,I
