,,Value,Symbol
Harvested irrigated temporary crop area: Other crops,Guinea,0.5,I
Harvested irrigated temporary crop area: Rice,Guinea-Bissau,0.661,I
Harvested irrigated temporary crop area: Vegetables,Guinea-Bissau,0.53,I
Harvested irrigated permanent crop area: Other crops,Guinea-Bissau,7.371,I
Harvested irrigated temporary crop area: Wheat,India,22980.9090909091,I
Harvested irrigated temporary crop area: Rice,India,21919.8181818182,I
Harvested irrigated temporary crop area: Barley,India,489.6363636364,I
Harvested irrigated temporary crop area: Maize,India,1393.3636363636,I
Harvested irrigated temporary crop area: Other cereals,India,959.3636363636,I
Harvested irrigated temporary crop area: Sugarcane,India,3965.0,I
Harvested irrigated temporary crop area: Leguminous crops,India,3165.0909090909,I
Harvested irrigated temporary crop area: Vegetables,India,2715.0,I
Harvested irrigated temporary crop area: Wheat,Iran (Islamic Republic of),2604.7,I
Harvested irrigated temporary crop area: Rice,Iran (Islamic Republic of),624.14,I
Harvested irrigated temporary crop area: Barley,Iran (Islamic Republic of),613.53,I
Harvested irrigated temporary crop area: Other roots and tubers,Iran (Islamic Republic of),58.984,I
Harvested irrigated temporary crop area: Sugarcane,Iran (Islamic Republic of),59.658,I
Harvested irrigated temporary crop area: Leguminous crops,Iran (Islamic Republic of),162.92,I
Harvested irrigated temporary crop area: Vegetables,Iran (Islamic Republic of),549.21,I
Harvested irrigated temporary crop area: Cotton,Iran (Islamic Republic of),141.77,I
Harvested irrigated temporary crop area: Fodder,Iran (Islamic Republic of),869.39,I
Harvested irrigated permanent crop area: Oil palm,Iran (Islamic Republic of),140.7,I
Harvested irrigated temporary crop area: Other crops,Iran (Islamic Republic of),150.16,I
Harvested irrigated permanent crop area: Other crops,Iran (Islamic Republic of),1091.0,I
Harvested irrigated temporary crop area: Wheat,Iraq,650.0263157895,I
Harvested irrigated temporary crop area: Rice,Iraq,42.2436842105,I
Harvested irrigated temporary crop area: Barley,Iraq,294.0105263158,I
Harvested irrigated temporary crop area: Potatoes,Ireland,0.5,I
Harvested irrigated temporary crop area: Vegetables,Ireland,0.5,I
Harvested irrigated temporary crop area: Vegetables,Israel,43.0933333333,I
Harvested irrigated temporary crop area: Flowers,Israel,5.43,I
Harvested irrigated temporary crop area: Other crops,Israel,63.3366666667,I
Harvested irrigated permanent crop area: Other crops,Israel,73.06,I
Harvested irrigated temporary crop area: Wheat,Italy,71.3933333333,I
Harvested irrigated temporary crop area: Maize,Italy,651.8666666667,I
Harvested irrigated temporary crop area: Potatoes,Italy,25.31,I
Harvested irrigated temporary crop area: Sugar beet,Italy,82.6433333333,I
Harvested irrigated permanent crop area: Citrus,Italy,119.2666666667,I
Harvested irrigated temporary crop area: Fodder,Italy,113.6866666667,I
Harvested irrigated temporary crop area: Soybeans,Italy,62.14,I
Harvested irrigated temporary crop area: Sunflower,Italy,9.6866666667,I
Harvested irrigated permanent crop area: Other crops,Italy,202.7,I
Harvested irrigated temporary crop area: Sugarcane,Jamaica,16.3815384615,I
Harvested irrigated temporary crop area: Vegetables,Jamaica,3.8844615385,I
Harvested irrigated permanent crop area: Bananas,Jamaica,2.0504615385,I
Harvested irrigated permanent crop area: Coffee,Jamaica,0.154,I
Harvested irrigated temporary crop area: Fodder,Jamaica,1.424,I
Harvested irrigated temporary crop area: Other crops,Jamaica,0.425,I
Harvested irrigated permanent crop area: Other crops,Jamaica,0.574,I
Harvested irrigated temporary crop area: Wheat,Japan,105.5666666667,I
Harvested irrigated temporary crop area: Rice,Japan,1860.6666666667,I
Harvested irrigated temporary crop area: Barley,Japan,52.9,I
Harvested irrigated temporary crop area: Other cereals,Japan,40.7,I
Harvested irrigated temporary crop area: Leguminous crops,Japan,38.1,I
Harvested irrigated temporary crop area: Wheat,Jordan,2.3904615385,I
Harvested irrigated temporary crop area: Barley,Jordan,0.9741538462,I
Harvested irrigated temporary crop area: Potatoes,Jordan,3.5379230769,I
Harvested irrigated temporary crop area: Vegetables,Jordan,31.005,I
Harvested irrigated permanent crop area: Oil palm,Jordan,13.35,I
Harvested irrigated temporary crop area: Other crops,Jordan,8.6115,I
Harvested irrigated permanent crop area: Other crops,Jordan,40.7,I
Harvested irrigated temporary crop area: Wheat,Kazakhstan,155.8588235294,I
Harvested irrigated temporary crop area: Rice,Kazakhstan,102.1882352941,I
Harvested irrigated temporary crop area: Barley,Kazakhstan,93.8823529412,I
Harvested irrigated temporary crop area: Maize,Kazakhstan,106.1411764706,I
Harvested irrigated temporary crop area: Other cereals,Kazakhstan,200.0,I
Harvested irrigated temporary crop area: Other roots and tubers,Kazakhstan,69.0,I
Harvested irrigated temporary crop area: Leguminous crops,Kazakhstan,14.3,I
Harvested irrigated temporary crop area: Vegetables,Kazakhstan,110.5529411765,I
Harvested irrigated temporary crop area: Cotton,Kazakhstan,123.0941176471,I
Harvested irrigated temporary crop area: Fodder,Kazakhstan,1007.0,I
Harvested irrigated permanent crop area: Oil palm,Kazakhstan,80.0,I
Harvested irrigated temporary crop area: Other crops,Kazakhstan,72.4394117647,I
Harvested irrigated temporary crop area: Rice,Kenya,16.41,I
Harvested irrigated temporary crop area: Maize,Kenya,3.9576923077,I
Harvested irrigated temporary crop area: Sugarcane,Kenya,5.5969230769,I
Harvested irrigated temporary crop area: Vegetables,Kenya,30.6469230769,I
Harvested irrigated permanent crop area: Bananas,Kenya,1.0,I
Harvested irrigated permanent crop area: Citrus,Kenya,5.9161538462,I
Harvested irrigated permanent crop area: Coffee,Kenya,14.7723076923,I
Harvested irrigated temporary crop area: Cotton,Kenya,3.9338461538,I
Harvested irrigated temporary crop area: Flowers,Kenya,3.1310769231,I
Harvested irrigated permanent crop area: Other crops,Kenya,0.03,I
Harvested irrigated temporary crop area: Wheat,Kuwait,0.2666666667,I
Harvested irrigated temporary crop area: Potatoes,Kuwait,0.73,I
Harvested irrigated temporary crop area: Leguminous crops,Kuwait,0.06,I
Harvested irrigated temporary crop area: Vegetables,Kuwait,3.0733333333,I
Harvested irrigated temporary crop area: Fodder,Kuwait,1.47,I
Harvested irrigated permanent crop area: Other crops,Kuwait,1.278,I
Harvested irrigated temporary crop area: Wheat,Kyrgyzstan,324.7818181818,I
Harvested irrigated temporary crop area: Barley,Kyrgyzstan,83.4909090909,I
Harvested irrigated temporary crop area: Maize,Kyrgyzstan,56.3181818182,I
Harvested irrigated temporary crop area: Other cereals,Kyrgyzstan,4.048,I
Harvested irrigated temporary crop area: Other roots and tubers,Kyrgyzstan,7.1,I
Harvested irrigated temporary crop area: Vegetables,Kyrgyzstan,33.0454545455,I
Harvested irrigated temporary crop area: Cotton,Kyrgyzstan,39.4727272727,I
Harvested irrigated temporary crop area: Fodder,Kyrgyzstan,51.1245454545,I
Harvested irrigated permanent crop area: Oil palm,Kyrgyzstan,58.4,I
Harvested irrigated permanent crop area: Other crops,Kyrgyzstan,36.2,I
Harvested irrigated temporary crop area: Rice,Lao People's Democratic Republic,269.6818181818,I
Harvested irrigated temporary crop area: Vegetables,Lao People's Democratic Republic,24.66,I
Harvested irrigated temporary crop area: Wheat,Lebanon,16.9266666667,I
Harvested irrigated temporary crop area: Barley,Lebanon,5.14,I
Harvested irrigated temporary crop area: Maize,Lebanon,3.49,I
Harvested irrigated temporary crop area: Other cereals,Lebanon,0.061,I
Harvested irrigated temporary crop area: Potatoes,Lebanon,19.18,I
Harvested irrigated temporary crop area: Other roots and tubers,Lebanon,4.1573333333,I
Harvested irrigated temporary crop area: Sugar beet,Lebanon,0.4222222222,I
Harvested irrigated temporary crop area: Leguminous crops,Lebanon,4.31,I
Harvested irrigated temporary crop area: Vegetables,Lebanon,14.3266666667,I
Harvested irrigated permanent crop area: Bananas,Lebanon,2.7526666667,I
Harvested irrigated permanent crop area: Citrus,Lebanon,16.42,I
Harvested irrigated temporary crop area: Tobacco,Lebanon,8.982,I
Harvested irrigated permanent crop area: Oil palm,Lebanon,0.305,I
Harvested irrigated temporary crop area: Groundnuts,Lebanon,0.718,I
Harvested irrigated temporary crop area: Flowers,Lebanon,0.508,I
Harvested irrigated temporary crop area: Other crops,Lebanon,3.4,I
Harvested irrigated permanent crop area: Other crops,Lebanon,4.4713333333,I
Harvested irrigated temporary crop area: Vegetables,Lesotho,0.067,I
Harvested irrigated temporary crop area: Vegetables,Liberia,0.1,I
Harvested irrigated temporary crop area: Wheat,Libya,70.0,I
Harvested irrigated temporary crop area: Barley,Libya,50.0,I
Harvested irrigated temporary crop area: Potatoes,Libya,10.0,I
Harvested irrigated temporary crop area: Leguminous crops,Libya,10.0,I
Harvested irrigated temporary crop area: Vegetables,Libya,60.0,I
Harvested irrigated permanent crop area: Citrus,Libya,10.0,I
Harvested irrigated permanent crop area: Coffee,Libya,0.0,I
Harvested irrigated temporary crop area: Tobacco,Libya,1.0,I
Harvested irrigated temporary crop area: Fodder,Libya,70.0,I
Harvested irrigated temporary crop area: Groundnuts,Libya,10.0,I
Harvested irrigated temporary crop area: Rice,Madagascar,866.775,I
Harvested irrigated temporary crop area: Sugarcane,Madagascar,17.225,I
Harvested irrigated temporary crop area: Cotton,Madagascar,1.243,I
Harvested irrigated temporary crop area: Other crops,Madagascar,0.5,I
Harvested irrigated permanent crop area: Other crops,Madagascar,0.5,I
Harvested irrigated temporary crop area: Rice,Malawi,6.4,E
Harvested irrigated temporary crop area: Maize,Malawi,2.0,E
Harvested irrigated temporary crop area: Sugarcane,Malawi,21.68,I
Harvested irrigated temporary crop area: Vegetables,Malawi,2.0,E
Harvested irrigated permanent crop area: Coffee,Malawi,5.45,I
Harvested irrigated permanent crop area: Tea,Malawi,21.0,I
Harvested irrigated temporary crop area: Other crops,Malawi,1.65,I
Harvested irrigated permanent crop area: Other crops,Malawi,1.65,I
Harvested irrigated temporary crop area: Rice,Malaysia,433.6,I
Harvested irrigated temporary crop area: Vegetables,Malaysia,32.02,I
Harvested irrigated temporary crop area: Tobacco,Malaysia,11.2,I
Harvested irrigated temporary crop area: Flowers,Malaysia,0.841,I
Harvested irrigated temporary crop area: Wheat,Mali,4.5903636364,I
Harvested irrigated temporary crop area: Rice,Mali,137.3727272727,I
Harvested irrigated temporary crop area: Maize,Mali,1.0244545455,I
Harvested irrigated temporary crop area: Sorghum,Mali,5.4060909091,I
Harvested irrigated temporary crop area: Other cereals,Mali,73.7,I
Harvested irrigated temporary crop area: Potatoes,Mali,0.9246428571,I
Harvested irrigated temporary crop area: Sugarcane,Mali,6.736,I
Harvested irrigated temporary crop area: Vegetables,Mali,13.8954545455,I
Harvested irrigated permanent crop area: Tea,Mali,3.9828181818,I
Harvested irrigated temporary crop area: Other crops,Mali,0.316,I
Harvested irrigated temporary crop area: Other roots and tubers,Malta,0.377,I
Harvested irrigated temporary crop area: Vegetables,Malta,1.3433333333,I
Harvested irrigated permanent crop area: Other crops,Mauritania,4.751,I
Harvested irrigated temporary crop area: Maize,Mauritius,0.038,OF
Harvested irrigated temporary crop area: Vegetables,Mauritius,0.758,OF
Harvested irrigated permanent crop area: Citrus,Mauritius,0.042,OF
Harvested irrigated temporary crop area: Tobacco,Mauritius,0.34,OF
Harvested irrigated temporary crop area: Groundnuts,Mauritius,0.116,OF
Harvested irrigated temporary crop area: Flowers,Mauritius,0.135,OF
Harvested irrigated temporary crop area: Wheat,Mexico,619.875,I
