,,Year,Value,Symbol
Desalinated water produced,Cabo Verde,2002,0.0017,I
Desalinated water produced,Cabo Verde,2007,0.0017,I
Desalinated water produced,Cabo Verde,2012,0.0017,I
Desalinated water produced,Cabo Verde,2017,0.0017,I
Desalinated water produced,Cabo Verde,2018,0.0017,I
Produced municipal wastewater,Cabo Verde,2012,0.0039,I
Produced municipal wastewater,Cabo Verde,2017,0.0039,I
Produced municipal wastewater,Cabo Verde,2018,0.0039,I
Treated municipal wastewater,Cambodia,1997,0.0002,I
Treated municipal wastewater,Cambodia,2002,0.0002,I
Treated municipal wastewater,Cambodia,2007,0.0002,I
Treated municipal wastewater,Cambodia,2012,0.0002,I
Treated municipal wastewater,Cambodia,2017,0.0002,I
Treated municipal wastewater,Cambodia,2018,0.0002,I
Produced municipal wastewater,Cameroon,2012,0.0662,I
Produced municipal wastewater,Cameroon,2017,0.0662,I
Produced municipal wastewater,Cameroon,2018,0.0662,I
Desalinated water produced,Canada,1997,0.0027,I
Desalinated water produced,Canada,2002,0.0027,I
Desalinated water produced,Canada,2007,0.0027,E
Desalinated water produced,Canada,2012,0.0027,I
Desalinated water produced,Canada,2017,0.0027,I
Desalinated water produced,Canada,2018,0.0027,I
Produced municipal wastewater,Canada,2007,6.1476666667,I
Produced municipal wastewater,Canada,2012,6.1515,I
Produced municipal wastewater,Canada,2018,6.074,I
Collected municipal wastewater,Canada,2007,5.4683333333,I
Collected municipal wastewater,Canada,2012,5.67,I
Collected municipal wastewater,Canada,2018,5.91,I
Not treated municipal wastewater,Canada,2007,0.7956666667,I
Not treated municipal wastewater,Canada,2012,0.981,I
Not treated municipal wastewater,Canada,2017,0.981,I
Not treated municipal wastewater,Canada,2018,0.981,I
Treated municipal wastewater,Canada,2007,5.352,I
Treated municipal wastewater,Canada,2012,5.528,I
Treated municipal wastewater,Canada,2018,5.804,I
Desalinated water produced,Chile,1997,0.0048,I
Desalinated water produced,Chile,2002,0.01475,I
Desalinated water produced,Chile,2007,0.039625,I
Desalinated water produced,Chile,2012,0.0645,OF
Desalinated water produced,Chile,2017,0.065,I
Desalinated water produced,Chile,2018,0.065,I
Direct use of treated municipal wastewater,Chile,2012,0.0,I
Direct use of treated municipal wastewater,Chile,2017,0.0,I
Direct use of treated municipal wastewater,Chile,2018,0.0,I
Produced municipal wastewater,Chile,2002,1.07675,I
Produced municipal wastewater,Chile,2007,1.0963333333,I
Produced municipal wastewater,Chile,2012,1.112,I
Produced municipal wastewater,Chile,2017,1.112,I
Produced municipal wastewater,Chile,2018,1.112,I
Collected municipal wastewater,Chile,2012,1.067,I
Collected municipal wastewater,Chile,2017,1.067,I
Collected municipal wastewater,Chile,2018,1.067,I
Not treated municipal wastewater,Chile,2002,0.6588,I
Not treated municipal wastewater,Chile,2007,0.3368,I
Not treated municipal wastewater,Chile,2012,0.344,I
Not treated municipal wastewater,Chile,2017,0.344,I
Not treated municipal wastewater,Chile,2018,0.344,I
Treated municipal wastewater,Chile,2002,0.38331,I
Treated municipal wastewater,Chile,2007,0.66716,I
Treated municipal wastewater,Chile,2012,0.768,I
Treated municipal wastewater,Chile,2017,0.768,I
Treated municipal wastewater,Chile,2018,0.768,I
Treated municipal wastewater discharged (secondary water),Chile,2012,0.7807,I
Treated municipal wastewater discharged (secondary water),Chile,2017,0.7807,I
Treated municipal wastewater discharged (secondary water),Chile,2018,0.7807,I
Not treated municipal wastewater discharged (secondary water),Chile,2012,0.2089,I
Not treated municipal wastewater discharged (secondary water),Chile,2017,0.2089,I
Not treated municipal wastewater discharged (secondary water),Chile,2018,0.2089,I
Desalinated water produced,China,2007,0.0109,I
Desalinated water produced,China,2012,0.0109,I
Desalinated water produced,China,2017,0.0109,I
Desalinated water produced,China,2018,0.0109,I
Direct use of treated municipal wastewater,China,2017,3.86,I
Direct use of treated municipal wastewater,China,2018,3.86,I
Produced municipal wastewater,China,1997,18.91,OF
