,,Year,Value,Symbol
Total internal renewable water resources per capita,Antigua and Barbuda,2018,540.0577446358,E
Total renewable surface water,Antigua and Barbuda,1997,0.0,E
Total renewable surface water,Antigua and Barbuda,2002,0.0,E
Total renewable surface water,Antigua and Barbuda,2007,0.0,E
Total renewable surface water,Antigua and Barbuda,2012,0.0,E
Total renewable surface water,Antigua and Barbuda,2017,0.0,E
Total renewable surface water,Antigua and Barbuda,2018,0.0,E
Total renewable groundwater,Antigua and Barbuda,1997,0.0,E
Total renewable groundwater,Antigua and Barbuda,2002,0.0,E
Total renewable groundwater,Antigua and Barbuda,2007,0.0,E
Total renewable groundwater,Antigua and Barbuda,2012,0.0,E
Total renewable groundwater,Antigua and Barbuda,2017,0.0,E
Total renewable groundwater,Antigua and Barbuda,2018,0.0,E
Water resources: total external renewable,Antigua and Barbuda,1997,0.0,E
Water resources: total external renewable,Antigua and Barbuda,2002,0.0,E
Water resources: total external renewable,Antigua and Barbuda,2007,0.0,E
Water resources: total external renewable,Antigua and Barbuda,2012,0.0,E
Water resources: total external renewable,Antigua and Barbuda,2017,0.0,E
Water resources: total external renewable,Antigua and Barbuda,2018,0.0,E
Total renewable water resources,Antigua and Barbuda,1997,0.052,OF
Total renewable water resources,Antigua and Barbuda,2002,0.052,OF
Total renewable water resources,Antigua and Barbuda,2007,0.052,OF
Total renewable water resources,Antigua and Barbuda,2012,0.052,OF
Total renewable water resources,Antigua and Barbuda,2017,0.052,OF
Total renewable water resources per capita,Antigua and Barbuda,1997,725.2036148611,E
Total renewable water resources per capita,Antigua and Barbuda,2002,664.154799157,E
Total renewable water resources per capita,Antigua and Barbuda,2007,618.8560683598,E
Total renewable water resources per capita,Antigua and Barbuda,2012,575.1639770377,E
Total renewable water resources per capita,Antigua and Barbuda,2017,544.9248632448,E
Total renewable water resources per capita,Antigua and Barbuda,2018,540.0577446358,E
Total internal renewable water resources (IRWR),Argentina,1997,292.0,E
Total internal renewable water resources (IRWR),Argentina,2002,292.0,E
Total internal renewable water resources (IRWR),Argentina,2007,292.0,E
Total internal renewable water resources (IRWR),Argentina,2012,292.0,E
Total internal renewable water resources (IRWR),Argentina,2017,292.0,E
Total internal renewable water resources (IRWR),Argentina,2018,292.0,E
Total internal renewable water resources per capita,Argentina,1997,8189.0368483942,E
Total internal renewable water resources per capita,Argentina,2002,7749.1095224906,E
Total internal renewable water resources per capita,Argentina,2007,7358.0745229316,E
Total internal renewable water resources per capita,Argentina,2012,6993.1416439765,E
Total internal renewable water resources per capita,Argentina,2017,6645.8581509857,E
Total internal renewable water resources per capita,Argentina,2018,6582.3361206822,E
Total renewable surface water,Argentina,1997,860.24,E
Total renewable surface water,Argentina,2002,860.24,E
Total renewable surface water,Argentina,2007,860.24,E
