,,Year,Value,Symbol
Total freshwater withdrawal,China,2018,591.8,I
Total freshwater withdrawal,Colombia,2002,8.75125,E
Total freshwater withdrawal,Colombia,2007,11.264375,E
Total freshwater withdrawal,Comoros,2002,0.01,I
Total freshwater withdrawal,Comoros,2007,0.01,I
Total freshwater withdrawal,Comoros,2012,0.01,I
Total freshwater withdrawal,Comoros,2017,0.01,I
Total freshwater withdrawal,Comoros,2018,0.01,I
Fresh surface water withdrawal,Congo,2002,0.022,OF
Fresh surface water withdrawal,Congo,2007,0.022,I
Fresh surface water withdrawal,Congo,2012,0.022,I
Fresh surface water withdrawal,Congo,2017,0.022,I
Fresh surface water withdrawal,Congo,2018,0.022,I
Fresh groundwater withdrawal,Congo,2002,0.024,OF
Fresh groundwater withdrawal,Congo,2007,0.024,I
Fresh groundwater withdrawal,Congo,2012,0.024,I
Fresh groundwater withdrawal,Congo,2017,0.024,I
Fresh groundwater withdrawal,Congo,2018,0.024,I
Total freshwater withdrawal,Congo,1997,0.044,I
Total freshwater withdrawal,Congo,2002,0.046,E
Total freshwater withdrawal,Congo,2007,0.046,I
Total freshwater withdrawal,Congo,2012,0.046,I
Total freshwater withdrawal,Congo,2017,0.046,I
Total freshwater withdrawal,Congo,2018,0.046,I
Fresh surface water withdrawal,Croatia,2012,0.2111,X
Fresh groundwater withdrawal,Croatia,2012,0.4499,X
Fresh groundwater withdrawal,Croatia,2017,0.4246,X
Total freshwater withdrawal,Croatia,2002,0.5735,E
Total freshwater withdrawal,Croatia,2007,0.6509714286,E
Total freshwater withdrawal,Croatia,2012,0.661,X
Total freshwater withdrawal,Croatia,2017,0.6729,X
Fresh surface water withdrawal,Cuba,2017,4.314,I
Fresh surface water withdrawal,Cuba,2018,4.314,I
Fresh groundwater withdrawal,Cuba,2017,2.644,I
Fresh groundwater withdrawal,Cuba,2018,2.644,I
Total freshwater withdrawal,Cuba,1997,5.2211318182,E
Total freshwater withdrawal,Cuba,2002,5.2460613636,E
Total freshwater withdrawal,Cuba,2007,4.9363,E
Total freshwater withdrawal,Cuba,2012,6.6453833333,E
Total freshwater withdrawal,Cuba,2017,6.958,I
Total freshwater withdrawal,Cuba,2018,6.958,I
Fresh surface water withdrawal,Cyprus,2012,0.1003,X
Fresh surface water withdrawal,Cyprus,2017,0.061,OF
Fresh groundwater withdrawal,Cyprus,2002,0.145,X
Fresh groundwater withdrawal,Cyprus,2007,0.145,X
Fresh groundwater withdrawal,Cyprus,2012,0.155,X
Fresh groundwater withdrawal,Cyprus,2017,0.155,OF
Total freshwater withdrawal,Cyprus,1997,0.1811428571,I
Total freshwater withdrawal,Cyprus,2002,0.1707,E
Total freshwater withdrawal,Cyprus,2007,0.1641,E
Total freshwater withdrawal,Cyprus,2012,0.2553,X
Total freshwater withdrawal,Cyprus,2017,0.216,OF
Fresh surface water withdrawal,Czechia,1997,1.906,X
Fresh surface water withdrawal,Czechia,2002,1.368,X
Fresh surface water withdrawal,Czechia,2007,1.589,X
Fresh surface water withdrawal,Czechia,2012,1.461,X
Fresh surface water withdrawal,Czechia,2017,1.261,OF
Fresh groundwater withdrawal,Czechia,1997,0.5865,X
Fresh groundwater withdrawal,Czechia,2002,0.5401,X
Fresh groundwater withdrawal,Czechia,2007,0.3806,X
Fresh groundwater withdrawal,Czechia,2012,0.3794,X
Fresh groundwater withdrawal,Czechia,2017,0.3694,OF
Total freshwater withdrawal,Czechia,1997,2.4925,E
Total freshwater withdrawal,Czechia,2002,1.9081,E
Total freshwater withdrawal,Czechia,2007,1.9696,E
Total freshwater withdrawal,Czechia,2012,1.8404,E
Total freshwater withdrawal,Czechia,2017,1.63,OF
Total freshwater withdrawal,Côte d’Ivoire,1997,1.3204,I
Total freshwater withdrawal,Côte d’Ivoire,2002,1.46496,I
Total freshwater withdrawal,Côte d’Ivoire,2007,1.4621111111,E
Total freshwater withdrawal,Côte d’Ivoire,2012,1.2480444444,I
Total freshwater withdrawal,Côte d’Ivoire,2017,1.162,I
Total freshwater withdrawal,Côte d’Ivoire,2018,1.162,I
Total freshwater withdrawal,Democratic People's Republic of Korea,2002,8.59648,E
Total freshwater withdrawal,Democratic People's Republic of Korea,2007,8.6578,I
Total freshwater withdrawal,Democratic People's Republic of Korea,2012,8.6578,I
Total freshwater withdrawal,Democratic People's Republic of Korea,2017,8.6578,I
Total freshwater withdrawal,Democratic People's Republic of Korea,2018,8.6578,I
Total freshwater withdrawal,Democratic Republic of the Congo,1997,0.5193,E
Total freshwater withdrawal,Democratic Republic of the Congo,2002,0.6239,I
Total freshwater withdrawal,Democratic Republic of the Congo,2007,0.6836,I
Total freshwater withdrawal,Democratic Republic of the Congo,2012,0.6836,I
Total freshwater withdrawal,Democratic Republic of the Congo,2017,0.6836,I
Total freshwater withdrawal,Democratic Republic of the Congo,2018,0.6836,I
Fresh surface water withdrawal,Denmark,1997,0.016,X
Fresh surface water withdrawal,Denmark,2002,0.0184,X
Fresh surface water withdrawal,Denmark,2007,0.0034,X
Fresh surface water withdrawal,Denmark,2012,0.1068,X
Fresh groundwater withdrawal,Denmark,2012,0.6217,X
Total freshwater withdrawal,Denmark,1997,0.9175,E
Total freshwater withdrawal,Denmark,2002,0.6534,E
Total freshwater withdrawal,Denmark,2007,0.5554,E
Total freshwater withdrawal,Denmark,2012,0.7285,X
Fresh surface water withdrawal,Djibouti,2002,0.001,I
Fresh surface water withdrawal,Djibouti,2007,0.001,I
Fresh surface water withdrawal,Djibouti,2012,0.001,I
Fresh surface water withdrawal,Djibouti,2017,0.001,I
Fresh surface water withdrawal,Djibouti,2018,0.001,I
Fresh groundwater withdrawal,Djibouti,2002,0.018,I
Fresh groundwater withdrawal,Djibouti,2007,0.018,I
Fresh groundwater withdrawal,Djibouti,2012,0.018,I
Fresh groundwater withdrawal,Djibouti,2017,0.018,I
Fresh groundwater withdrawal,Djibouti,2018,0.018,I
Total freshwater withdrawal,Djibouti,1997,0.0168,I
