,,Value,Symbol
Desalinated water produced,Tunisia,0.0166545455,I
Direct use of treated municipal wastewater,Tunisia,0.0542,I
Produced municipal wastewater,Tunisia,0.2713333333,I
Collected municipal wastewater,Tunisia,0.23825,I
Not treated municipal wastewater,Tunisia,0.0596666667,I
Treated municipal wastewater,Tunisia,0.1894,I
Treated municipal wastewater discharged (secondary water),Tunisia,0.1352,I
Not treated municipal wastewater discharged (secondary water),Tunisia,0.1,I
Direct use of not treated municipal wastewater for irrigation purposes,Tunisia,0.04428,I
Desalinated water produced,Turkey,0.0005,I
Direct use of treated municipal wastewater,Turkey,0.043,I
Produced municipal wastewater,Turkey,3.314,I
Not treated municipal wastewater,Turkey,1.1185,I
Treated municipal wastewater,Turkey,2.1955,I
Treated municipal wastewater discharged (secondary water),Turkey,1.591,I
Desalinated water produced,Turkmenistan,0.0,I
Produced municipal wastewater,Turkmenistan,0.268,I
Treated municipal wastewater,Turkmenistan,0.336,I
Produced municipal wastewater,Ukraine,2.0471666667,I
Not treated municipal wastewater,Ukraine,0.8392,I
Treated municipal wastewater,Ukraine,1.245,OF
Desalinated water produced,United Arab Emirates,1.515,OF
Direct use of treated municipal wastewater,United Arab Emirates,0.2938181818,I
Produced municipal wastewater,United Arab Emirates,0.5,I
Not treated municipal wastewater,United Arab Emirates,0.307,I
Treated municipal wastewater,United Arab Emirates,0.3342285714,I
Treated municipal wastewater discharged (secondary water),United Arab Emirates,0.0304583333,I
Desalinated water produced,United Kingdom of Great Britain and Northern Ireland,0.0333,I
Produced municipal wastewater,United Kingdom of Great Britain and Northern Ireland,4.0578888889,I
Collected municipal wastewater,United Kingdom of Great Britain and Northern Ireland,3.834,I
Not treated municipal wastewater,United Kingdom of Great Britain and Northern Ireland,0.029,I
Treated municipal wastewater,United Kingdom of Great Britain and Northern Ireland,3.8155,I
Treated municipal wastewater discharged (secondary water),United Kingdom of Great Britain and Northern Ireland,3.093,I
Not treated municipal wastewater discharged (secondary water),United Kingdom of Great Britain and Northern Ireland,0.0145,I
Desalinated water produced,United States of America,0.58,I
Direct use of treated municipal wastewater,United States of America,2.7025,I
Treated municipal wastewater,United States of America,45.1425,I
Treated municipal wastewater discharged (secondary water),United States of America,42.2972222222,I
Produced municipal wastewater,Venezuela (Bolivarian Republic of),2.903,I
Direct use of treated municipal wastewater,Viet Nam,0.175,I
Produced municipal wastewater,Viet Nam,1.4875555556,I
Desalinated water produced,Yemen,0.0251,I
Direct use of treated municipal wastewater,Yemen,0.006,I
Treated municipal wastewater,Yemen,0.046,I
