,,Value,Symbol
Total freshwater withdrawal,Trinidad and Tobago,0.3180666667,I
Fresh surface water withdrawal,Tunisia,0.9202857143,I
Fresh groundwater withdrawal,Tunisia,1.9787142857,I
Total freshwater withdrawal,Tunisia,2.899,I
Fresh surface water withdrawal,Turkey,29.454625,I
Fresh groundwater withdrawal,Turkey,12.015,I
Total freshwater withdrawal,Turkey,41.469625,E
Fresh surface water withdrawal,Turkmenistan,27.56,I
Fresh groundwater withdrawal,Turkmenistan,0.305,I
Total freshwater withdrawal,Turkmenistan,27.865,I
Total freshwater withdrawal,Uganda,0.5910916667,E
Total freshwater withdrawal,Ukraine,14.988,I
Fresh surface water withdrawal,United Arab Emirates,0.0,I
Fresh groundwater withdrawal,United Arab Emirates,2.7707272727,I
Total freshwater withdrawal,United Arab Emirates,2.7707272727,I
Fresh surface water withdrawal,United Kingdom of Great Britain and Northern Ireland,6.6583066998,I
Fresh groundwater withdrawal,United Kingdom of Great Britain and Northern Ireland,1.8546933002,I
Total freshwater withdrawal,United Kingdom of Great Britain and Northern Ireland,8.513,E
Total freshwater withdrawal,United Republic of Tanzania,5.184,I
Fresh surface water withdrawal,United States of America,346.9,I
Fresh groundwater withdrawal,United States of America,107.78,I
Total freshwater withdrawal,United States of America,454.68,E
Fresh surface water withdrawal,Uruguay,3.52,I
Fresh groundwater withdrawal,Uruguay,0.14,I
Total freshwater withdrawal,Uruguay,3.66,I
Fresh surface water withdrawal,Uzbekistan,44.4195063737,I
Fresh groundwater withdrawal,Uzbekistan,5.0293825151,I
Total freshwater withdrawal,Uzbekistan,49.4488888889,I
Total freshwater withdrawal,Venezuela (Bolivarian Republic of),22.6211,E
Fresh surface water withdrawal,Viet Nam,80.46,I
Fresh groundwater withdrawal,Viet Nam,1.402,I
Total freshwater withdrawal,Viet Nam,81.862,I
Fresh surface water withdrawal,Yemen,1.0397916667,I
Fresh groundwater withdrawal,Yemen,2.5252083333,I
Total freshwater withdrawal,Yemen,3.565,I
Fresh surface water withdrawal,Zambia,1.5117115054,I
Fresh groundwater withdrawal,Zambia,0.0602884946,I
Total freshwater withdrawal,Zambia,1.572,I
Fresh surface water withdrawal,Zimbabwe,3.2134244946,I
Fresh groundwater withdrawal,Zimbabwe,0.3565755054,I
Total freshwater withdrawal,Zimbabwe,3.57,E
